unique_id,normalization
work:W.0525,"La Morale Chrétienne Abrégée, Et Réduite À Ses Principaux Devoirs"
work:W.0526,La Mort De Caesar
work:W.0527,La Moza De Cántaro
work:W.0528,La Muger Zelosa
work:W.0529,La Muger Zelosa. Comedia En Cinco Actos En Prosa
work:W.0530,La Métromanie
work:W.0531,La Música
work:W.0532,La Nouvelle Encyclopédie
work:W.0533,La Orgullosa. Comedia En Tres Actos
work:W.0534,La Pensadora Gaditana
work:W.0535,La Pharmacopée
work:W.0536,La Pierre Philosophale Des Dames
work:W.0537,La Pintura
work:W.0538,La Poetica Alla Moda
work:W.0539,La Princesse De Montpensier
work:W.0540,La Prude
work:W.0541,La Pucelle
work:W.0542,La Pucelle D’orléans
work:W.0543,La Quintessence
work:W.0544,La Religion
work:W.0545,La Religion Chrétienne Prouvée Par Les Faits
work:W.0546,La Religion Du Medecin
work:W.0547,La Religion Du Saique
work:W.0548,La Ruine D’annibal
work:W.0549,La Sagesse De Salomon
work:W.0550,La Serva Senza Padrone
work:W.0551,La Sofía
work:W.0552,La Spectatrice
work:W.0553,La Spectatrice Danoise
work:W.0554,La Spectatrice Danoise Ou L’aspasie Moderne
work:W.0555,La Titiada
work:W.0556,La Tragédie De Sémiramis
work:W.0557,La Vie De Marianne
work:W.0558,La Vérité De La Religion Chrétienne
work:W.0559,Laelius Über Die Freundschaft
work:W.0560,Le Bourru Bienfaisant
work:W.0561,Le Calcul De Jouvence
work:W.0562,Le Carnaval Du Parnasse
work:W.0563,Le Censeur
work:W.0564,Le Censeur Ou Caractères Des Mœurs De La Haye
work:W.0565,Le Chef-d'œuvre Inconnu
work:W.0566,"Le Chef-d’oeuvre D’un Inconnu, Par Le Dr. Mathanasius"
work:W.0567,Le Cid
work:W.0568,Le Comte Essex
work:W.0569,Le Comédien
work:W.0570,Le Dernier Coup De Pinceau
work:W.0571,Le Devin Du Village
work:W.0572,"Le Doyen De Killerine, Histoire Morale Composée Sur Les Mémoires D’une Illustre Famille D’irlande"
work:W.0573,Le Droit & L’obligation De Penser Librement
work:W.0574,"Le Droit Public De L’europe, Fondé Sur Les Traités"
work:W.0575,"Le Fils Naturel, Ou Les Épreuves De La Vertu"
work:W.0576,Le Fragment De Tite-live
work:W.0577,"Le Français À Londres, Comédie En Un Acte Et En Prose"
work:W.0578,Le Gardien
work:W.0579,Le Gouvernement De La Langue
work:W.0580,Le Joueur
work:W.0581,Le Journal Des Sçavans
work:W.0582,Le Journal Encyclopédique
work:W.0583,Le Jubilé
work:W.0584,Le Livre De Job
work:W.0585,Le Lutrin
work:W.0586,Le Mendiant De La Cour
work:W.0587,Le Mentor Moderne
work:W.0588,Le Mercure
work:W.0589,Le Mercure De France
work:W.0590,Le Mercure Galant
work:W.0591,Le Miroir
work:W.0592,Le Miroir Du Gouvernement
work:W.0593,Le Misanthrope Ou L’atrabilaire Amoureux
work:W.0594,Le Misantrope
work:W.0595,Le Monde Comme Il Est
work:W.0596,Le Médecin Malgré Lui
work:W.0597,Le Nouveau Spectateur
work:W.0598,Le Nouveau Spectateur François
work:W.0599,Le Parfait Ambassadeur
work:W.0600,"Le Parfait Capitaine, Autrement L’« abregé » Des Commentaires De César"
work:W.0601,"Le Philosophe Anglais, Ou Histoire De Monsieur Cleveland, Fils Naturel De Cromwell"
work:W.0602,Le Postillon
work:W.0603,Le Pourceau A Perdu Sa Perle
work:W.0604,Le Père De Famille
work:W.0605,Le Renard Et Le Buste
work:W.0606,Le Siècle De Louis Xiv
work:W.0607,Le Socrate Moderne
work:W.0608,"Le Sopha, Conte Moral"
work:W.0609,Le Sorcier
work:W.0610,Le Spectacle De La Nature
work:W.0611,Le Spectateur
work:W.0612,Le Spectateur Anglois
work:W.0613,Le Spectateur Français
work:W.0614,Le Spectateur Français Ou Le Socrate Moderne
work:W.0615,Le Spectateur François
work:W.0616,Le Spectateur François Ou Journal Des Moeurs
work:W.0617,Le Spectateur François Ou Le Nouveau Socrate Moderne
work:W.0618,Le Spectateur François Pour Servir De Suite À Celui De M. De Marivaux
work:W.0619,"Le Spectateur, Ou Le Socrate Moderne"
work:W.0620,Le Vol D’une Boucle De Cheveux
work:W.0621,Le Vrai Moïen De Vivre Plus De Cent Ans Dans Une Santé Parfaite
work:W.0622,"Leg. 14, Cod. De Adv."
work:W.0623,Leggío
work:W.0624,Les Agréments Du Langage Réduits À Leurs Principes
work:W.0625,Les Amours De Cassandre
work:W.0626,Les Amusements De La Campagne Ou Le Défi Spirituel
work:W.0627,"Les Annales Patriotiques Et Littéraires De La France, Et Affaires Politiques De L’europe. Journal Libre Par Une Société D’écrivains Patriotes"
work:W.0628,Les Aventures De Télémaque
work:W.0629,Les Bijoux Indiscrets
work:W.0630,Les Bons Mots De Charles Ii
work:W.0631,Les Caracteres
work:W.0632,Les Caractères Ou Les Mœurs De Ce Siècle
work:W.0633,Les Charmes De La Solitude
work:W.0634,Les Chiffons
work:W.0635,Les Cocus De Londres
work:W.0636,Les Commentaires Royaux De Pérou
work:W.0637,Les Confessions
work:W.0638,Les Confessions D’un Fat
work:W.0639,Les Contes Arabes
work:W.0640,"Les Coups De Patte Du Frère Nicolas, Par M. L. B. D. B. Première Estafilade"
work:W.0641,Les Dialogues À L’imitation De Lucien Par M. * * *
work:W.0642,"Les Délices Du Danemark Enrichis De Cartes Géographiques Et De Vues Perspectives Très Exactes Des Villes, Châteaux Etc."
work:W.0643,"Les Ennuis Du Carnaval, Comédie En Vers"
work:W.0644,Les Essais
work:W.0645,Les Femmes Savantes
work:W.0646,Les Francs-maçons Écrasés
work:W.0647,Les Fâcheux
work:W.0648,Les Fêtes Vénitiennes
work:W.0649,Les Grâces
work:W.0650,Les Génies Assistans & Les Gnômes Irréconciliables
work:W.0651,Les Indes Galantes
work:W.0652,Les Leçons De La Sagesse Sur Les Défauts Des Hommes
work:W.0653,Les Liaisons Dangereuses
work:W.0654,Les Lunes Du Cousin Jacques
work:W.0655,Les Moyens De Prévenir La Ruine Des Chrétiens
work:W.0656,Les Nouvelles Litteraires
work:W.0657,Les Pensées
work:W.0658,Les Plaintes Des Protestans
work:W.0659,Les Plaintes Des Protestants Cruellement Opprimés Dans Le Royaume De France
work:W.0660,Les Plaisirs Innocens De La Vie Rustique
work:W.0661,Les Poëtes Modernes
work:W.0662,Les Prophetes Modernes
work:W.0663,Les Précieuses Ridicules
work:W.0664,Les Souhaits
work:W.0665,Les Traitez Secrets & Les Négociations Du Maréchal
work:W.0666,Les Travaux De L´institut National
work:W.0667,Les Vaporeux : Livre À L’usage Des Cavaliers Ennuïeux & Des Dames Ennuiées.
work:W.0668,"Les Vertus Du Camphre, Avec Des Avis Pour Faire Du Thé Camphré"
work:W.0669,Les Visions De Mirza
work:W.0670,Les Élémens
work:W.0671,Lettera Riguardante Il Lusso
